PDF#76-1746: QM=Calculated; d=Calculated; I=(Unknown)
Gypsum
CaSO4(H2O)2	
Radiation=CuKa1	Lambda=1.5406	Filter=
Calibration=	2T=10.348-71.948	I/Ic(RIR)=5.05
Ref: Level-1 PDF

Monoclinic,  C2/m(12)	Z=4	mp=
CELL: 10.47 x 15.15 x 6.28 <90.0 x 98.97 x 90.0>	P.S=
Density(c)=1.162	Density(m)=	Mwt=	Vol=984.0	
Ref: Ibid.

Strong Lines: 7.57/X  3.10/2  5.17/1  2.87/1  2.86/1  4.27/1  6.20/1

2-Theta    d(?)   I(f)  ( h k l)    Theta  1/(2d)   2pi/d  n^2  
 50.337  1.8112    0.4  ( 0 8 1)   25.168  0.2761  3.4690     
 50.479  1.8065    0.2  ( 4 6 0)   25.240  0.2768  3.4782     
 50.780  1.7965    0.5  ( 4 2 2)   25.390  0.2783  3.4975     
 50.953  1.7908    0.3  (-2 4 3)   25.477  0.2792  3.5087     
 51.054  1.7875    0.1  (-4 6 1)   25.527  0.2797  3.5151     
 51.337  1.7782    0.9  ( 2 8 0)   25.669  0.2812  3.5334     
 51.459  1.7743    1.2  ( 2 6 2)   25.730  0.2818  3.5412     
 52.110  1.7537    0.6  (-4 0 3)   26.055  0.2851  3.5828     
 52.198  1.7509    0.6  ( 3 5 2)   26.099  0.2856  3.5885     
 52.380  1.7453    0.4  (-5 3 2)   26.190  0.2865  3.6001     
 52.740  1.7342    0.3  (-2 8 1)   26.370  0.2883  3.6231     
 53.088  1.7237    0.7  ( 1 7 2)   26.544  0.2901  3.6453     
 53.226  1.7195    0.4  ( 3 7 1)   26.613  0.2908  3.6540     
 53.603  1.7083    0.7  (-4 2 3)   26.802  0.2927  3.6780     
 53.745  1.7041    0.4  (-5 5 1)   26.873  0.2934  3.6870     
 54.384  1.6856    0.3  ( 4 6 1)   27.192  0.2966  3.7275     
 54.556  1.6807    0.7  ( 6 2 0)   27.278  0.2975  3.7384     
 55.241  1.6615    0.5  ( 4 4 2)   27.621  0.3009  3.7817     
 55.562  1.6526    0.1  ( 3 1 3)   27.781  0.3025  3.8019     
 56.078  1.6386    0.7  (-3 7 2)   28.039  0.3051  3.8344     
 56.876  1.6175    0.5  (-6 0 2)   28.438  0.3091  3.8845     
 57.560  1.5999    0.1  ( 5 1 2)   28.780  0.3125  3.9272     
 57.756  1.5949    0.1  ( 5 5 1)   28.878  0.3135  3.9394     
 57.898  1.5914    0.1  (-4 4 3)   28.949  0.3142  3.9482     
 58.150  1.5851    0.3  (-5 5 2)   29.075  0.3154  3.9639     
 58.280  1.5819    0.6  (-5 1 3)   29.140  0.3161  3.9720     
 58.369  1.5797    0.7  (-2 8 2)   29.184  0.3165  3.9775     
 58.558  1.5750    0.4  (-6 4 1)   29.279  0.3175  3.9893     
 58.811  1.5688    0.3  ( 6 4 0)   29.405  0.3187  4.0050     
 59.446  1.5536    0.5  (-2 0 4)   29.723  0.3218  4.0443     
 59.564  1.5508    0.8  ( 0 0 4)   29.782  0.3224  4.0516     
 60.326  1.5330    0.3  ( 5 3 2)   30.163  0.3262  4.0986     
 60.555  1.5278    0.4  ( 4 8 0)   30.277  0.3273  4.1127     
 60.735  1.5237    1.2  ( 3 7 2)   30.368  0.3282  4.1237     
 60.928  1.5193    1.3  ( 0 2 4)   30.464  0.3291  4.1356     
 61.064  1.5162    0.6  (-4 8 1)   30.532  0.3298  4.1440     
 61.225  1.5126    1.0  ( 3 9 0)   30.613  0.3306  4.1538     
 61.425  1.5082    0.7  ( 2 8 2)   30.713  0.3315  4.1660     
 61.619  1.5039    0.5  ( 4 0 3)   30.810  0.3325  4.1779     
 61.834  1.4992    0.2  (-1 3 4)   30.917  0.3335  4.1911     
 62.011  1.4953    0.4  ( 5 7 0)   31.006  0.3344  4.2019     
 62.169  1.4919    0.3  ( 1 1 4)   31.085  0.3351  4.2115     
 62.372  1.4875    0.3  (-6 4 2)   31.186  0.3361  4.2239     
 62.567  1.4834    0.2  (-7 1 1)   31.283  0.3371  4.2357     
 62.722  1.4801    0.5  (-1 9 2)   31.361  0.3378  4.2452     
