Unnamed: 0,Unnamed: 1,Concentrated P-fertilisers,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,AP1,AP2,AP3,AP4,AP5,AP6,RP
C ,%TS,0.1,1.0871932710800023,<1,0,0,32.80727272727273,na
K,%TS,0,11.571703315800463,0.8106403355890709,0,1.7013181545835798,2.5138038981264454,na
N,%TS,5.7,0,0,0,0,2.961254699617738,na
P,%TS,12.6,6.497207868943679,7.400560630225701,31.63265306122449,8.7,4.152967138070443,7.9
As,mg kg-1 TS,<1,1.642077530875654,3.9999999999999996,<1,<1,11.83669398606239,7.43033201475
Cd,mg kg-1 TS,<1,0.9542959427207717,0.37,<1,1.6472940611026041,<1,26.8334656497
Cr,mg kg-1 TS,<1,18.05821906063921,127,5,18.031247474648914,11.556407080550407,141.5165304274
Cu,mg kg-1 TS,<1,366.0381171073089,601,5,23.58788897051092,235.846586840244,49.700571255
Hg,mg kg-1 TS,<1,0,0.7000000000000001,<1,<1,<1,<1
Ni,mg kg-1 TS,<1,213.38178186621036,56,<1,7.566930872066257,2.2609224590214874,27.8105482312
Pb,mg kg-1 TS,<1,9.246313691869299,59.800000000000004,<1,8.187884007668973,10.399368167831188,13.326252903600002
Zn,mg kg-1 TS,2,284.9852655271046,1737,3,265.3066145594386,936.7923255751141,250
