Scenario,CC,TA,ME-N,FE-P,POF,PM,HTc,ET,RDf,TE,HTnc,IR,OD,Sum of Abs values
NB1,-0.20717438334380953,0.6022463240455002,-5.177264687099623,-33.06626558908914,0.3822732476223915,0.42303955363974866,0.09379322320115198,2.5715976742863074,0.3439370967429318,0.271040213954638,92.23802514628335,0.09594906032768254,-0.0029952845550458534,135.47560148419132
NB2,1.572833391642242,-8.066858395098556,-22.993334774188018,39.575344729438534,2.024298253973662,2.144427431182261,6.094334647973984,17.19568978319771,1.839555155045816,-11.221241738481503,527.2394416043823,0.3206613015491916,0.038256640455758016,640.3262778466095
NB3,0.42795282747093977,-0.3408322333936655,-25.525482493521427,23.490282978035015,1.2280071371884134,2.24905047715436,-7.38350086125104,-29.087151963069964,1.9509856949000477,-1.4033311725578015,-571.9561468450632,0.2690676465167152,0.0365879604455999,665.3483802905682
NB4,0.398677662854671,-0.351111668451908,-22.736315588807837,21.28123214901427,1.1121957569214973,1.5440148139742988,-15.126181718197966,-109.20634569703297,1.7314869334303231,-1.560185992103082,-2485.3750936680467,0.3728979362501446,0.125220300938253,2660.9209598860234
NB5,1.3055792509710795,1.0972887474644735,-34.720970890970506,19.03135972115737,1.9610413066079062,2.9513721019383645,3.100685757960538,3.4997283859809434,1.8428581139712008,-0.6165121407254177,95.97637022917557,0.020663154221410462,0.03846622754283619,166.1628960286876
NB6,-2.375863307512872,-1.8459618218120428,-7.156081796835256,30.30277635929816,-4.9613441653454196,6.244331558906017,11.336032627315392,6.544865979637906,6.348618246588781,-4.963178500469343,164.6038718395077,1.3732460101479982,0.11527261090274458,248.1714448242796
RP,0.3804657879403972,1.383618391232637,0.05785224083747567,45.91700979289466,0.6031963448876192,1.7402639470237105,4.491580462441223,6.170505395101356,0.9424331715024796,0.3601155655930265,206.21777022278178,0.2795443915592243,0.013230928039537957,268.55758664183514
