Scenario,CC,TA,ME-N,FE-P,POF,PM,HTc,ET,RDf,TE,HTnc,IR,OD,Sum
NB1,0.0015292375975757137,0.00444542277316094,0.03821547666428895,0.2440754292790326,0.0028217128651537972,0.0031226253953123306,0.0006923255713472269,0.018981998574749918,0.002538738289219302,0.002000657025953605,0.6808460278882513,0.0007082386738019307,2.210940215235268e-05,1
NB2,0.002456299930297433,0.012598043644604222,0.035908778961115946,0.06180496740275717,0.0031613543345141047,0.0033489605305499575,0.009517545755687204,0.02685457457880082,0.002872840329514764,0.017524256190481622,0.8233918548173073,0.0005007779824803725,5.9745541889071766e-05,1
NB3,0.00064320112612891,0.0005122613107509462,0.03836408601817599,0.03530523808861823,0.0018456603691619766,0.0033802599416747118,0.01109719521377139,0.043717175580057985,0.0029322769134089138,0.0021091674889851604,0.8596340861238452,0.0004044011445540892,5.499068086649787e-05,1
NB4,0.00014982694670936326,0.000131951182971984,0.00854452872954998,0.00799769420807066,0.00041797399234629523,0.0005802557976169403,0.005684566338582967,0.041040807804268886,0.0006507096450938884,0.0005863330837793507,0.9340281545884415,0.0001401386744934044,4.7059008075014986e-05,1
NB5,0.007857224941154579,0.006603692964493284,0.2089574250377534,0.11453435259019348,0.011801920606086074,0.01776192021490055,0.01866051827494155,0.021062032918448437,0.011090671612109096,0.003710287648206242,0.5776041012947047,0.00012435480311948234,0.00023149709388908997,1
NB6,0.009573475744540743,0.007438252306259874,0.028835234456172806,0.12210420252319665,0.019991599633303304,0.025161361990407003,0.04567823117338092,0.026372357159269742,0.025581582325412123,0.01999899103615073,0.6632667668758474,0.005533456966091886,0.0004644878099668742,1
RP,0.001416700949311887,0.005152036136956783,0.0002154183821834494,0.17097640162417901,0.0022460595972366953,0.006480040161161536,0.01672483178973257,0.02297647023217676,0.0035092405442240077,0.0013409249393996777,0.7678716985858473,0.0010409104246682176,4.926663292213574e-05,1
